index	sheet	BMS	UNOCF	TC	status
123	To psi(I)	(0,0)(1,1)(2,1)(2,1)(1,1)(2,1)(2,1)	phi(3,1) = psi(W^3*2)	C(C(Ω_1,C(Ω_1,Ω_1)),C(C(Ω_1,C(Ω_1,Ω_1)),0))	verified
124	To psi(I)	(0,0)(1,1)(2,1)(2,1)(2,0)	phi(3,w) = psi(W^3*w) = psi(psi_1(W2+1))	C(C(0,C(Ω_1,C(Ω_1,Ω_1))),0)	verified
125	To psi(I)	(0,0)(1,1)(2,1)(2,1)(2,0)(3,1)	phi(3,e0) = psi(W^3*e0)	C(C(C(Ω_1,0),C(Ω_1,C(Ω_1,Ω_1))),0)	verified
126	To psi(I)	(0,0)(1,1)(2,1)(2,1)(2,0)(3,1)(4,1)	phi(3,z0) = psi(W^3*z0)	C(C(C(C(Ω_1,Ω_1),0),C(Ω_1,C(Ω_1,Ω_1))),0)	verified
127	To psi(I)	(0,0)(1,1)(2,1)(2,1)(2,0)(3,1)(4,1)(4,1)	phi(3,phi(3,0)) = psi(W^3*phi(3,0))	C(C(C(C(Ω_1,C(Ω_1,Ω_1)),0),C(Ω_1,C(Ω_1,Ω_1))),0)	verified
128	To psi(I)	(0,0)(1,1)(2,1)(2,1)(2,1)	phi(4,0) = psi(W^4) = psi(psi_1(W3))	C(C(Ω_1,C(Ω_1,C(Ω_1,Ω_1))),0)	verified
129	To psi(I)	(0,0)(1,1)(2,1)(2,1)(2,1)(2,1)	phi(5,0) = psi(W^5) = psi(psi_1(W4))	C(C(Ω_1,C(Ω_1,C(Ω_1,C(Ω_1,Ω_1)))),0)	verified
130	To psi(I)	(0,0)(1,1)(2,1)(3,0)	phi(w,0) = psi(W^w) = psi(psi_1(W*w))	C(C(C(0,Ω_1),Ω_1),0)	verified
131	To psi(I)	(0,0)(1,1)(2,1)(3,0)(1,1)	e(phi(w,0)+1) = psi(W^w+W)	C(Ω_1,C(C(C(0,Ω_1),Ω_1),0))	verified
132	To psi(I)	(0,0)(1,1)(2,1)(3,0)(1,1)(2,1)	z(phi(w,0)+1) = psi(W^w+W^2)	C(C(Ω_1,Ω_1),C(C(C(0,Ω_1),Ω_1),0))	verified
133	To psi(I)	(0,0)(1,1)(2,1)(3,0)(1,1)(2,1)(2,1)	phi(3,phi(w,0)+1) = psi(W^w+W^3)	C(C(Ω_1,C(Ω_1,Ω_1)),C(C(C(0,Ω_1),Ω_1),0))	verified
134	To psi(I)	(0,0)(1,1)(2,1)(3,0)(1,1)(2,1)(3,0)	phi(w,1) = psi(W^w*2)	C(C(C(0,Ω_1),Ω_1),C(C(C(0,Ω_1),Ω_1),0))	verified
135	To psi(I)	(0,0)(1,1)(2,1)(3,0)(2,0)	phi(w,w) = psi(W^w*w) = psi(psi_1(W*w+1))	C(C(0,C(C(0,Ω_1),Ω_1)),0)	verified
136	To psi(I)	(0,0)(1,1)(2,1)(3,0)(2,0)(3,1)(4,1)(5,0)	phi(w,phi(w,0)) = psi(W^w*phi(w,0))	C(C(C(C(C(0,Ω_1),Ω_1),0),C(C(0,Ω_1),Ω_1)),0)	verified
137	To psi(I)	(0,0)(1,1)(2,1)(3,0)(2,1)	phi(w+1,0) = psi(W^(w+1)) = psi(psi_1(W*w+W))	C(C(Ω_1,C(C(0,Ω_1),Ω_1)),0)	verified
138	To psi(I)	(0,0)(1,1)(2,1)(3,0)(2,1)(3,0)	phi(w2,0) = psi(W^(w2)) = psi(psi_1(W*w2))	C(C(C(0,Ω_1),C(C(0,Ω_1),Ω_1)),0)	verified
139	To psi(I)	(0,0)(1,1)(2,1)(3,0)(3,0)	phi(w^2,0) = psi(W^w^2) = psi(psi_1(W*w^2))	C(C(C(0,C(0,Ω_1)),Ω_1),0)	verified
140	To psi(I)	(0,0)(1,1)(2,1)(3,0)(4,0)	phi(w^w,0) = psi(W^w^w) = psi(psi_1(W*w^w))	C(C(C(C(0,0),Ω_1),Ω_1),0)	verified
141	To psi(I)	(0,0)(1,1)(2,1)(3,0)(4,1)	phi(e0,0) = psi(W^e0) = psi(psi_1(W*e0))	C(C(C(C(Ω_1,0),Ω_1),Ω_1),0)	verified
142	To psi(I)	(0,0)(1,1)(2,1)(3,0)(4,1)(5,1)	phi(z0,0) = psi(W^z0) = psi(psi_1(W*z0))	C(C(C(C(C(Ω_1,Ω_1),0),Ω_1),Ω_1),0)	verified
143	To psi(I)	(0,0)(1,1)(2,1)(3,0)(4,1)(5,1)(6,0)	phi(phi(w,0),0) = psi(W^phi(w,0))	C(C(C(C(C(C(0,Ω_1),Ω_1),0),Ω_1),Ω_1),0)	verified
